Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.7148	0.000219204	2330.89	3260.89
1/delta	0.000681557	1.9902e-10	2334.04	3.42456e+06
nu	0.0204019	5.95922e-09	69847.4	3.42358e+06
104	0.000139764	8.96652e-11	217.853	1.55873e+06
111	2.05758e-05	1.29003e-11	32.818	1.59498e+06
79	2.64028e-05	1.62696e-11	42.8472	1.62283e+06
103	8.32048e-06	5.03864e-12	13.7399	1.65133e+06
114	9.23269e-05	5.86465e-11	145.35	1.57429e+06
82	9.2688e-06	5.62235e-12	15.2802	1.64856e+06
100	0.000140207	9.69686e-11	202.727	1.44591e+06
57	1.54758e-05	9.75654e-12	24.5476	1.58619e+06
112	1.15081e-05	7.01614e-12	18.8758	1.64023e+06
81	0.000191471	1.62439e-10	225.692	1.17873e+06
52	1.58087e-05	9.76955e-12	25.581	1.61816e+06
39	2.38476e-05	1.50401e-11	37.8126	1.5856e+06
45	2.51635e-05	1.59031e-11	39.8161	1.5823e+06
56	1.35508e-05	8.33014e-12	22.0434	1.62672e+06
92	2.51474e-05	1.59334e-11	39.6897	1.57828e+06
102	2.08034e-05	1.27957e-11	33.8225	1.62581e+06
84	1.24712e-05	7.61869e-12	20.4143	1.63692e+06
90	1.22173e-05	7.54766e-12	19.7761	1.61869e+06
91	1.55324e-05	9.45525e-12	25.5156	1.64273e+06
181	0.000165729	1.09703e-10	250.367	1.51071e+06
4	1.62021e-05	9.87818e-12	26.5745	1.64019e+06
70	2.43158e-05	1.52723e-11	38.7146	1.59216e+06
54	3.53904e-05	2.19742e-11	56.9978	1.61054e+06
NODE_24	0.000132729	9.49043e-11	185.628	1.39855e+06
NODE_25	4.46656e-05	2.87034e-11	69.5046	1.55611e+06
NODE_26	2.14625e-06	1.30477e-12	3.53041	1.64492e+06
NODE_27	1.35598e-05	8.37498e-12	21.9545	1.61908e+06
NODE_28	2.90637e-05	1.78549e-11	47.3091	1.62777e+06
NODE_29	2.06562e-05	1.30702e-11	32.6451	1.5804e+06
NODE_30	1.19119e-05	7.28887e-12	19.4672	1.63426e+06
NODE_31	7.69505e-05	5.29188e-11	111.896	1.45413e+06
NODE_32	4.38091e-05	2.73519e-11	70.1682	1.60168e+06
NODE_33	8.13303e-05	5.33697e-11	123.94	1.5239e+06
NODE_34	5.61815e-05	3.56725e-11	88.4817	1.57493e+06
NODE_35	8.76437e-05	5.75737e-11	133.419	1.52229e+06
NODE_36	7.35996e-05	4.6833e-11	115.664	1.57153e+06
NODE_37	3.65396e-05	2.24633e-11	59.4366	1.62664e+06
NODE_38	9.56817e-05	6.16847e-11	148.416	1.55114e+06
NODE_39	2.85654e-05	1.76598e-11	46.2055	1.61753e+06
NODE_40	2.03118e-05	1.27273e-11	32.4159	1.59592e+06
NODE_41	0.000148221	1.00131e-10	219.407	1.48027e+06
NODE_42	6.19562e-05	4.04512e-11	94.8939	1.53163e+06
NODE_43	4.73843e-05	3.14463e-11	71.4003	1.50683e+06
